time	V(n010)
1.502967757196916e-02	2.679907e-01
1.508903271590748e-02	2.881388e-01
1.520774300378412e-02	3.105934e-01
1.544516357953741e-02	3.078399e-01
1.566609438652763e-02	2.563479e-01
1.588338076421700e-02	1.629618e-01
1.600000000000000e-02	9.857330e-02
1.602276607990909e-02	8.443788e-02
1.606829823972727e-02	5.748354e-02
1.615936255936362e-02	8.699526e-03
1.629368331157404e-02	-5.128065e-02
1.652074193086347e-02	-1.270601e-01
1.676976301393000e-02	-1.809005e-01
1.699487506803075e-02	-2.093212e-01
1.700000000000000e-02	-2.096902e-01
1.707174904756956e-02	-2.130425e-01
1.715374795907762e-02	-2.171339e-01
1.731774578209375e-02	-2.260019e-01
1.764574142812600e-02	-2.455442e-01
1.800000000000000e-02	-2.682616e-01
1.806559912920645e-02	-2.688992e-01
1.819679738761935e-02	-2.620153e-01
1.845919390444516e-02	-2.181447e-01
1.883578384555701e-02	-1.108329e-01
1.900000000000000e-02	-4.920496e-02
1.904671134216641e-02	-2.996435e-02
1.914013402649924e-02	5.754934e-03
1.926454934216960e-02	4.667770e-02
1.943657004218890e-02	8.922672e-02
1.978061144222749e-02	1.451858e-01
2.000000000000000e-02	1.665860e-01
2.004141000065531e-02	1.685789e-01
2.012423000196592e-02	1.737742e-01
2.028987000458716e-02	1.894416e-01
2.062115000982962e-02	2.352495e-01
2.100000000000000e-02	3.012792e-01
2.104552936293557e-02	3.081961e-01
2.113658808880670e-02	3.158403e-01
2.131870554054897e-02	3.059428e-01
2.162893830973284e-02	2.316602e-01
2.199075344814225e-02	8.987207e-02
2.200000000000000e-02	8.526020e-02
2.200578126723098e-02	8.204567e-02
2.201734380169293e-02	7.572296e-02
2.204046887061684e-02	6.346467e-02
2.208622211646261e-02	4.057977e-02
2.217772860815416e-02	-8.504919e-05
2.236074159153726e-02	-6.391073e-02
2.270345099012477e-02	-1.436278e-01
2.300000000000000e-02	-1.846508e-01
2.303846461187167e-02	-1.866507e-01
2.311539383561501e-02	-1.914101e-01
2.326925228310170e-02	-2.042232e-01
2.357696917807507e-02	-2.394899e-01
2.400000000000000e-02	-2.990143e-01
2.404743543677901e-02	-3.052094e-01
2.414230631033703e-02	-3.134330e-01
2.433204805745306e-02	-3.117938e-01
2.471153155168512e-02	-2.646542e-01
2.500000000000000e-02	-2.018883e-01
2.504620161229780e-02	-1.890418e-01
2.513860483689340e-02	-1.665047e-01
2.532341128608460e-02	-1.343732e-01
2.564682468653769e-02	-1.079258e-01
2.600000000000000e-02	-1.055208e-01
2.604144315486134e-02	-1.067079e-01
2.612432946458400e-02	-1.050834e-01
2.629010208402934e-02	-8.733229e-02
2.649829697896982e-02	-3.837730e-02
2.685823582350508e-02	9.057225e-02
2.700000000000000e-02	1.539432e-01
2.702483400826254e-02	1.658316e-01
2.707450202478763e-02	1.870754e-01
2.717383805783781e-02	2.181662e-01
2.737251012393817e-02	2.463720e-01
2.762205569468613e-02	2.329261e-01
2.784056969212332e-02	1.804350e-01
2.800000000000000e-02	1.218994e-01
2.800556909351658e-02	1.193076e-01
2.801670728054976e-02	1.142296e-01
2.803898365461609e-02	1.044437e-01
2.807949377260155e-02	8.781539e-02
2.816051400857245e-02	5.829260e-02
2.827656064689673e-02	2.290187e-02
2.839274811161452e-02	-4.536379e-03
